id,POLR2A,EDNRB,CLPB,PPIA
MccJ25_ring8to7,6.729150295257568,3.187218189239502,4.967599391937256,0.5653731226921082
MccJ25_ring8to9,8.181720733642578,3.4079513549804688,5.744597911834717,0.20473796129226685
MccJ25_ring8to10,7.938742160797119,3.2100753784179688,5.474091053009033,-0.08731881529092789
Ubonodin_ring8to7,4.765614986419678,1.5282678604125977,3.056065797805786,-1.4246543645858765
Ubonodin_ring8to9,4.385303974151611,1.376204490661621,2.8386476039886475,-1.5736273527145386
Ubonodin_ring8to10,4.363205432891846,1.385885238647461,2.8349242210388184,-1.5464378595352173
Capistruin_ring9to8,4.780422210693359,3.064465284347534,3.9296929836273193,0.7558501362800598
Capistruin_ring9to10,6.516993999481201,3.435511350631714,4.989017009735107,0.0347478985786438
Capistruin_ring9to11,6.153067111968994,3.2840137481689453,4.7577948570251465,-0.29171738028526306
Anantin_ring8to7,7.290135383605957,2.7937276363372803,4.949862957000732,-0.5880458950996399
Anantin_ring8to9,8.228469848632812,3.513315200805664,5.854889392852783,-0.2329891324043274
Anantin_ring8to10,7.9288506507873535,3.297180652618408,5.586365222930908,-0.42996665835380554
RES-701-3_ring9to8,7.954666614532471,3.032975435256958,5.380209445953369,-0.7591701745986938
RES-701-3_ring9to10,8.966950416564941,3.3971452713012695,6.037861347198486,-0.9401446580886841
RES-701-3_ring9to11,8.705451011657715,3.299842596054077,5.8849568367004395,-1.029681921005249
RES-701-1_ring9to8,8.186695098876953,3.229266881942749,5.6164021492004395,-0.6747379302978516
RES-701-1_ring9to10,9.21146011352539,3.581953763961792,6.263736724853516,-0.758987307548523
RES-701-1_ring9to11,8.784395217895508,3.3932526111602783,5.98131799697876,-0.9856187105178833
Chaxapeptin_ring8to7,2.909764051437378,2.0749332904815674,2.546265125274658,0.07204252481460571
Chaxapeptin_ring8to9,3.4237544536590576,2.4862923622131348,3.007094621658325,0.354690819978714
Chaxapeptin_ring8to10,3.0587270259857178,2.293675184249878,2.7502541542053223,0.1878957450389862
Siamycin-I_ring8to7,2.022151470184326,-1.356850504875183,0.9902552962303162,-2.609196901321411
Siamycin-I_ring8to9,0.8329595923423767,-2.0906224250793457,-0.908784031867981,-2.7998838424682617
Siamycin-I_ring8to10,1.3601057529449463,-1.9819997549057007,-0.3913773000240326,-2.7675607204437256
Lassomycin_ring8to7,-8.294973373413086,-2.3436291217803955,-5.0628156661987305,0.6132817268371582
Lassomycin_ring8to9,-3.3489441871643066,-0.3057495057582855,-1.6616824865341187,0.48008114099502563
Lassomycin_ring8to10,-4.5221943855285645,-0.761681318283081,-2.4705162048339844,0.4950909912586212
Sphingopyxin-I_ring9to8,-1.7340105772018433,0.4735663831233978,-0.5238409042358398,0.13646537065505981
Sphingopyxin-I_ring9to10,-0.5286655426025391,0.9501090049743652,0.3055766224861145,-0.39792484045028687
Sphingopyxin-I_ring9to11,-0.1846928596496582,1.0949783325195312,0.5466954112052917,-0.6016525626182556
Lariocidin_ring8to7,-0.791685938835144,0.13113678991794586,-0.2694900333881378,0.6696500778198242
Lariocidin_ring8to9,-0.4911528527736664,0.21198958158493042,-0.06993038207292557,0.5365206599235535
Lariocidin_ring8to10,-0.5993579626083374,0.18961021304130554,-0.13090234994888306,0.5673415660858154
